=== Unused Algorithms ===
# usecount  child% type   lines tst/src tstcnt codebase testinfo istest versioninfo deprecated name                                    
          0   100% C++      114    0.00      0 ours     untested    -             -          - CatalogKeepAlive.v1                     
          0   100% C++      116    0.67      2 ours            -    -             -          - SavePeaksFile.v1                        
          0   100% C++      145    1.37      2 ours            -    -             -          - CatalogMyDataSearch.v1                  
          0   100% C++      153    1.29      2 ours            -    -             -          - CatalogGetDataSets.v1                   
          0   100% C++      156    0.56      2 ours            -    -             - deprecated OneStepMDEW.v1                          
          0   100% C++      161    1.26      5 ours            -    -             -          - EqualToMD.v1                            
          0   100% C++      169    0.70      4 ours            -    -             -          - LogarithmMD.v1                          
          0   100% C++      225    1.77      6 ours            -    -   superseded           - StopRemoteTransaction.v1                
          0   100% C++      226    1.83      7 ours            -    -   superseded           - AbortRemoteJob.v1                       
          0   100% C++      229    1.59      6 ours            -    -             -          - ExtractMonitorWorkspace.v1              
          0   100% C++      231    1.00      0 ours            -    -             -          - Lorentzian1D.v1                         
          0   100% C++      231    2.43      6 ours            -    -             -          - StopRemoteTransaction.v2                
          0   100% C++      233    0.00      0 ours     untested    -             -          - LoadSpec.v1                             
          0   100% C++      233    2.22      6 ours            -    -             -          - QueryRemoteFile.v2                      
          0   100% C++      238    1.44      6 ours            -    -   superseded           - QueryRemoteFile.v1                      
          0   100% C++      239    0.00      0 ours     untested    -             - deprecated SANSDirectBeamScaling.v1                
          0   100% C++      247    1.73      5 ours            -    -             -          - CreateModeratorModel.v1                 
          0   100% C++      249    0.00      0 ours     untested    -   superseded           - EQSANSDarkCurrentSubtraction.v1         
          0   100% C++      258    0.66      3 ours            -    -             -          - BroadcastWorkspace.v1                   
          0   100% C++      258    2.11      6 ours            -    -             -          - DownloadRemoteFile.v2                   
          0   100% C++      266    1.40      6 ours            -    -   superseded           - DownloadRemoteFile.v1                   
          0   100% C++      268    0.28      2 ours            -    -             -          - GPUTester.v1                            
          0   100% C++      278    1.18      6 ours            -    -             -          - QueryRemoteJob.v2                       
          0   100% C++      280    1.79      4 ours            -    -             -          - CreateChopperModel.v1                   
          0   100% C++      282    2.39      6 ours            -    -             -          - UploadRemoteFile.v2                     
          0   100% C++      283    0.88      6 ours            -    -   superseded           - QueryRemoteJob.v1                       
          0   100% C++      290    0.00      0 ours     untested    -             -          - SINQTranspose3D.v1                      
          0   100% C++      291    0.00      0 ours     untested    -             -          - DgsAbsoluteUnitsReduction.v1            
          0   100% C++      298    0.00      0 ours     untested    -             -          - OptimizeExtinctionParameters.v1         
          0   100% C++      312    0.65      6 ours            -    -   superseded           - QueryAllRemoteJobs.v1                   
          0   100% C++      325    0.00      0 ours     untested    -             -          - LoadLogsForSNSPulsedMagnet.v1           
          0   100% C++      336    0.32      2 ours            -    -             -          - SaveIsawQvector.v1                      
          0   100% C++      342    1.48      6 ours            -    -   superseded           - UploadRemoteFile.v1                     
          0   100% C++      350    1.34      2 ours            -    -             -          - GenerateIPythonNotebook.v1              
          0   100% C++      362    0.34      5 ours            -    -             -          - LoadSNSspec.v1                          
          0   100% C++      369    0.61      2 ours            -    -             -          - Merge2WorkspaceLogs.v1                  
          0   100% C++      369    2.09      6 ours            -    -             -          - DiffPeaksWorkspaces.v1                  
          0   100% C++      370    0.67      2 ours            -    -             -          - CorrectFlightPaths.v1                   
          0   100% C++      397    2.80      6 ours            -    -   superseded           - LoadNexusMonitors.v1                    
          0   100% C++      407    0.00      0 ours     untested    -             -          - LoadILLAscii.v1                         
          0   100% C++      424    1.11      3 ours            -    -             -          - LoadRawSpectrum.v0                      
          0   100% C++      427    0.26      2 ours            -    -             -          - LoadSwans.v1                            
          0   100% C++      434    0.37      2 ours            -    -             -          - PhaseQuadMuon.v1                        
          0   100% C++      454    1.36      5 ours            -    -   superseded           - CentroidPeaksMD.v1                      
          0   100% C++      459    1.41      5 ours            -    -             -          - AnyShapeAbsorption.v1                   
          0   100% C++      472    2.66     13 ours            -    -             -          - RebinByTimeAtSample.v1                  
          0   100% C++      481    0.95      3 ours            -    -             -          - LoadRawBin.v0                           
          0   100% C++      492    0.00      0 ours     untested    -             -          - TOFExtinction.v1                        
          0   100% C++      492    0.93      5 ours            -    -             -          - CorrectToFile.v1                        
          0   100% C++      493    0.18      4 ours            -    -             -          - LoadLLB.v1                              
          0   100% C++      497    0.36      4 ours            -    -             -          - GatherWorkspaces.v1                     
          0   100% C++      520    0.00      0 ours     untested    -             -          - EQSANSMonitorTOF.v1                     
          0   100% C++      523    0.50      3 ours            -    -             -          - MaskPeaksWorkspace.v1                   
          0   100% C++      532    0.37      4 ours            -    -             -          - CalculateTransmissionBeamSpreader.v1    
          0   100% C++      532    0.70      5 ours            -    -             -          - MuonRemoveExpDecay.v1                   
          0   100% C++      553    1.00      7 ours            -    -             -          - MonitorLiveData.v1                      
